Cuenca;Estación;Fecha;Hora;Lluvia (mm)
84;193;07/08/2008;2400;0.0
84;193;08/08/2008;100;0.0
84;193;08/08/2008;200;0.0
84;193;08/08/2008;300;0.0
84;193;08/08/2008;400;0.0
84;193;08/08/2008;500;0.0
84;193;08/08/2008;600;0.0
84;193;08/08/2008;700;0.0
84;193;08/08/2008;800;0.0
84;193;08/08/2008;900;0.0
84;193;08/08/2008;1000;0.0
84;193;08/08/2008;1100;0.0
84;193;08/08/2008;1200;0.0
84;193;08/08/2008;1300;0.0
84;193;08/08/2008;1400;0.0
84;193;08/08/2008;1500;0.0
84;193;08/08/2008;1600;0.0
84;193;08/08/2008;1700;0.0
84;193;08/08/2008;1800;0.0
84;193;08/08/2008;1900;0.0
84;193;08/08/2008;2000;0.0
84;193;08/08/2008;2100;0.0
84;193;08/08/2008;2200;0.0
84;193;08/08/2008;2300;0.0
84;193;08/08/2008;2400;0.0
84;193;09/08/2008;100;0.0
84;193;09/08/2008;200;0.0
84;193;09/08/2008;300;0.0
84;193;09/08/2008;400;0.0
84;193;09/08/2008;500;0.0
84;193;09/08/2008;600;0.0
84;193;09/08/2008;700;0.0
84;193;09/08/2008;800;0.0
84;193;09/08/2008;900;0.0
84;193;09/08/2008;1000;0.0
84;193;09/08/2008;1100;0.0
84;193;09/08/2008;1200;0.0
84;193;09/08/2008;1300;0.0
84;193;09/08/2008;1400;0.0
84;193;09/08/2008;1500;0.0
84;193;09/08/2008;1600;0.0
84;193;09/08/2008;1700;0.0
84;193;09/08/2008;1800;0.0
84;193;09/08/2008;1900;0.0
84;193;09/08/2008;2000;0.0
84;193;09/08/2008;2100;0.0
84;193;09/08/2008;2200;0.0
84;193;09/08/2008;2300;0.0
84;193;09/08/2008;2400;0.0
84;193;10/08/2008;100;0.0
84;193;10/08/2008;200;0.0
84;193;10/08/2008;300;0.0
84;193;10/08/2008;400;0.0
84;193;10/08/2008;500;0.0
84;193;10/08/2008;600;0.0
84;193;10/08/2008;700;0.0
84;193;10/08/2008;800;0.0
84;193;10/08/2008;900;0.0
84;193;10/08/2008;1000;0.0
84;193;10/08/2008;1100;0.0
84;193;10/08/2008;1200;0.0
84;193;10/08/2008;1300;0.0
84;193;10/08/2008;1400;0.0
84;193;10/08/2008;1500;0.0
84;193;10/08/2008;1600;0.0
84;193;10/08/2008;1700;0.0
84;193;10/08/2008;1800;0.0
84;193;10/08/2008;1900;0.0
84;193;10/08/2008;2000;0.0
84;193;10/08/2008;2100;0.0
84;193;10/08/2008;2200;0.0
84;193;10/08/2008;2300;0.0
84;193;10/08/2008;2400;0.0
84;193;11/08/2008;100;0.0
84;193;11/08/2008;200;0.0
84;193;11/08/2008;300;0.0
84;193;11/08/2008;400;0.0
84;193;11/08/2008;500;0.0
84;193;11/08/2008;600;0.0
84;193;11/08/2008;700;0.0
84;193;11/08/2008;800;0.0
84;193;11/08/2008;900;0.0
84;193;11/08/2008;1100;0.0
84;193;11/08/2008;1200;0.0
84;193;11/08/2008;1300;0.0
84;193;11/08/2008;1400;0.0
84;193;11/08/2008;1500;0.0
84;193;11/08/2008;1600;0.0
84;193;11/08/2008;1700;0.0
84;193;11/08/2008;1800;0.0
84;193;11/08/2008;1900;0.0
84;193;11/08/2008;2000;0.0
84;193;11/08/2008;2100;0.0
84;193;11/08/2008;2200;0.0
84;193;11/08/2008;2300;0.0
84;193;11/08/2008;2400;0.0
84;193;12/08/2008;100;0.0
84;193;12/08/2008;200;0.0
84;193;12/08/2008;300;0.0
84;193;12/08/2008;400;0.0
84;193;12/08/2008;500;0.0
84;193;12/08/2008;600;0.0
84;193;12/08/2008;700;0.0
84;193;12/08/2008;1100;0.0
84;193;12/08/2008;1200;0.0
84;193;12/08/2008;1400;0.2
84;193;12/08/2008;1500;3.8
84;193;12/08/2008;1600;6.5
84;193;12/08/2008;1700;0.4
84;193;12/08/2008;1800;2.1
84;193;12/08/2008;1900;2.7
84;193;12/08/2008;2000;6.0
84;193;12/08/2008;2100;1.3
84;193;12/08/2008;2200;1.5
84;193;12/08/2008;2300;0.6
84;193;12/08/2008;2400;0.3
84;193;13/08/2008;100;0.0
84;193;13/08/2008;200;0.0
84;193;13/08/2008;300;0.0
84;193;13/08/2008;400;0.0
84;193;13/08/2008;500;0.0
84;193;13/08/2008;600;0.0
84;193;13/08/2008;700;0.0
84;193;13/08/2008;800;0.0
84;193;13/08/2008;900;0.0
84;193;13/08/2008;1000;0.0
84;193;13/08/2008;1100;0.0
84;193;13/08/2008;1200;0.1
84;193;13/08/2008;1300;0.0
84;193;13/08/2008;1400;1.8
84;193;13/08/2008;1500;16.5
84;193;13/08/2008;1600;0.2
84;193;13/08/2008;1700;0.4
84;193;13/08/2008;1800;0.2
84;193;13/08/2008;1900;0.0
84;193;13/08/2008;2000;0.0
84;193;13/08/2008;2100;0.0
84;193;13/08/2008;2200;0.0
84;193;13/08/2008;2300;0.0
84;193;13/08/2008;2400;0.0
84;193;14/08/2008;100;0.0
84;193;14/08/2008;200;0.0
84;193;14/08/2008;300;0.0
84;193;14/08/2008;400;0.0
84;193;14/08/2008;500;0.0
84;193;14/08/2008;600;0.0
84;193;14/08/2008;700;0.0
84;193;14/08/2008;800;0.0
84;193;14/08/2008;900;0.0
84;193;14/08/2008;1000;0.0
84;193;14/08/2008;1100;0.0
84;193;14/08/2008;1200;0.0
84;193;14/08/2008;1300;0.0
84;193;14/08/2008;1400;0.0
84;193;14/08/2008;1500;0.3
84;193;14/08/2008;1600;4.3
84;193;14/08/2008;1700;0.0
84;193;14/08/2008;1800;0.0
84;193;14/08/2008;1900;0.0
84;193;14/08/2008;2000;0.0
84;193;14/08/2008;2100;0.0
84;193;14/08/2008;2200;0.0
84;193;14/08/2008;2300;0.0
84;193;14/08/2008;2400;0.0
84;193;15/08/2008;100;0.0
84;193;15/08/2008;200;0.0
84;193;15/08/2008;300;0.0
