Cuenca;Estación;Fecha;Hora;Humedad (%)
84;193;04/02/2016;500;71
84;193;04/02/2016;600;69
84;193;04/02/2016;700;67
84;193;04/02/2016;800;61
84;193;04/02/2016;900;54
84;193;04/02/2016;1000;51
84;193;04/02/2016;1100;45
84;193;04/02/2016;1200;40
84;193;04/02/2016;1300;41
84;193;04/02/2016;1400;48
84;193;04/02/2016;1500;59
84;193;04/02/2016;1600;56
84;193;04/02/2016;1700;62
84;193;04/02/2016;1800;69
84;193;04/02/2016;1900;73
84;193;04/02/2016;2000;71
84;193;04/02/2016;2100;67
84;193;04/02/2016;2200;69
84;193;04/02/2016;2300;68
84;193;04/02/2016;2400;66
84;193;05/02/2016;100;65
84;193;05/02/2016;200;67
84;193;05/02/2016;300;70
84;193;05/02/2016;400;70
84;193;05/02/2016;500;73
84;193;05/02/2016;600;70
84;193;05/02/2016;700;65
84;193;05/02/2016;800;62
84;193;05/02/2016;900;60
84;193;05/02/2016;1000;57
84;193;05/02/2016;1100;55
84;193;05/02/2016;1200;57
84;193;05/02/2016;1300;52
84;193;05/02/2016;1400;47
84;193;05/02/2016;1500;45
84;193;05/02/2016;1600;47
84;193;05/02/2016;1700;48
84;193;05/02/2016;1800;55
84;193;05/02/2016;1900;62
84;193;05/02/2016;2000;66
84;193;05/02/2016;2100;67
84;193;05/02/2016;2200;65
84;193;05/02/2016;2300;64
84;193;05/02/2016;2400;64
84;193;06/02/2016;100;66
84;193;06/02/2016;200;61
84;193;06/02/2016;300;57
84;193;06/02/2016;400;58
84;193;06/02/2016;500;60
84;193;06/02/2016;600;61
84;193;06/02/2016;700;56
84;193;06/02/2016;800;52
84;193;06/02/2016;900;44
84;193;06/02/2016;1000;42
84;193;06/02/2016;1100;43
84;193;06/02/2016;1200;43
84;193;06/02/2016;1300;43
84;193;06/02/2016;1400;44
84;193;06/02/2016;1500;44
84;193;06/02/2016;1600;48
84;193;06/02/2016;1700;55
84;193;06/02/2016;1800;66
84;193;06/02/2016;1900;67
84;193;06/02/2016;2000;65
84;193;06/02/2016;2100;66
84;193;06/02/2016;2200;67
84;193;06/02/2016;2300;66
84;193;06/02/2016;2400;65
84;193;07/02/2016;100;66
84;193;07/02/2016;200;65
84;193;07/02/2016;300;65
84;193;07/02/2016;400;68
84;193;07/02/2016;500;68
84;193;07/02/2016;600;69
84;193;07/02/2016;700;71
84;193;07/02/2016;800;62
84;193;07/02/2016;900;57
84;193;07/02/2016;1000;56
84;193;07/02/2016;1100;55
84;193;07/02/2016;1200;55
84;193;07/02/2016;1300;51
84;193;07/02/2016;1400;51
84;193;07/02/2016;1500;50
84;193;07/02/2016;1600;51
84;193;07/02/2016;1700;55
84;193;07/02/2016;1800;63
84;193;07/02/2016;1900;67
84;193;07/02/2016;2000;66
84;193;07/02/2016;2100;58
84;193;07/02/2016;2200;63
84;193;07/02/2016;2300;60
84;193;07/02/2016;2400;64
84;193;08/02/2016;100;58
84;193;08/02/2016;200;65
84;193;08/02/2016;300;61
84;193;08/02/2016;400;66
84;193;08/02/2016;500;64
84;193;08/02/2016;600;65
84;193;08/02/2016;700;64
84;193;08/02/2016;800;58
84;193;08/02/2016;900;56
84;193;08/02/2016;1000;58
84;193;08/02/2016;1100;55
84;193;08/02/2016;1200;50
84;193;08/02/2016;1300;48
84;193;08/02/2016;1400;47
84;193;08/02/2016;1500;48
84;193;08/02/2016;1600;52
84;193;08/02/2016;1700;59
84;193;08/02/2016;1800;66
84;193;08/02/2016;1900;71
84;193;08/02/2016;2000;72
84;193;08/02/2016;2100;71
84;193;08/02/2016;2200;72
84;193;08/02/2016;2300;70
84;193;08/02/2016;2400;74
84;193;09/02/2016;100;71
84;193;09/02/2016;200;70
84;193;09/02/2016;300;67
84;193;09/02/2016;400;72
84;193;09/02/2016;500;74
84;193;09/02/2016;600;73
84;193;09/02/2016;700;72
84;193;09/02/2016;800;69
84;193;09/02/2016;900;64
84;193;09/02/2016;1000;63
84;193;09/02/2016;1100;60
84;193;09/02/2016;1200;58
84;193;09/02/2016;1300;58
84;193;09/02/2016;1400;58
84;193;09/02/2016;1500;56
84;193;09/02/2016;1600;59
84;193;09/02/2016;1700;65
84;193;09/02/2016;1800;73
84;193;09/02/2016;1900;74
84;193;09/02/2016;2000;73
84;193;09/02/2016;2100;70
84;193;09/02/2016;2200;70
84;193;09/02/2016;2300;72
84;193;09/02/2016;2400;74
84;193;10/02/2016;100;74
84;193;10/02/2016;200;74
84;193;10/02/2016;300;73
84;193;10/02/2016;400;73
84;193;10/02/2016;500;73
84;193;10/02/2016;600;73
84;193;10/02/2016;700;71
84;193;10/02/2016;800;65
84;193;10/02/2016;900;60
84;193;10/02/2016;1000;60
84;193;10/02/2016;1100;58
84;193;10/02/2016;1200;57
84;193;10/02/2016;1300;58
84;193;10/02/2016;1400;57
84;193;10/02/2016;1500;57
84;193;10/02/2016;1600;60
84;193;10/02/2016;1700;64
84;193;10/02/2016;1800;70
84;193;10/02/2016;1900;73
84;193;10/02/2016;2000;72
84;193;10/02/2016;2100;73
84;193;10/02/2016;2200;73
84;193;10/02/2016;2300;74
84;193;10/02/2016;2400;74
84;193;11/02/2016;100;73
84;193;11/02/2016;200;72
84;193;11/02/2016;300;73
84;193;11/02/2016;400;74
84;193;11/02/2016;500;73
84;193;11/02/2016;600;73
84;193;11/02/2016;700;72
84;193;11/02/2016;800;70
84;193;11/02/2016;900;64
84;193;11/02/2016;1000;60
84;193;11/02/2016;1100;59
84;193;11/02/2016;1200;58
84;193;11/02/2016;1300;58
84;193;11/02/2016;1400;58
84;193;11/02/2016;1500;59
84;193;11/02/2016;1600;62
84;193;11/02/2016;1700;64
84;193;11/02/2016;1800;70
84;193;11/02/2016;1900;74
84;193;11/02/2016;2000;73
84;193;11/02/2016;2100;72
84;193;11/02/2016;2200;70
84;193;11/02/2016;2300;70
84;193;11/02/2016;2400;70
84;193;12/02/2016;100;71
84;193;12/02/2016;200;70
84;193;12/02/2016;300;71
84;193;12/02/2016;400;73
84;193;12/02/2016;500;74
84;193;12/02/2016;600;74
84;193;12/02/2016;700;73
84;193;12/02/2016;800;71
84;193;12/02/2016;900;68
84;193;12/02/2016;1000;64
84;193;12/02/2016;1100;63
84;193;12/02/2016;1200;61
84;193;12/02/2016;1300;61
84;193;12/02/2016;1400;62
84;193;12/02/2016;1500;65
84;193;12/02/2016;1600;66
84;193;12/02/2016;1700;68
84;193;12/02/2016;1800;70
84;193;12/02/2016;1900;72
84;193;12/02/2016;2000;69
84;193;12/02/2016;2100;67
84;193;12/02/2016;2200;69
84;193;12/02/2016;2300;72
84;193;12/02/2016;2400;70
84;193;13/02/2016;100;71
84;193;13/02/2016;200;70
84;193;13/02/2016;300;73
84;193;13/02/2016;400;68
84;193;13/02/2016;500;68
84;193;13/02/2016;600;66
84;193;13/02/2016;700;65
84;193;13/02/2016;800;62
84;193;13/02/2016;900;53
84;193;13/02/2016;1000;49
84;193;13/02/2016;1100;47
84;193;13/02/2016;1200;48
84;193;13/02/2016;1300;49
84;193;13/02/2016;1400;54
84;193;13/02/2016;1500;56
84;193;13/02/2016;1600;57
84;193;13/02/2016;1700;60
